DV IV label Estimate SE P-value lowerCI upperCI AIC replica h2 Tagged prs_noise
db d*b ha 0.157815983 0.01789933 0 0.122733941 0.192898025 31100.5672234298 1 0.3 0.2 0.1
total_mum c+(a*b) total_mum 0.148723853 0.025127306 3.242713e-09 0.099475238 0.197972468 31100.5672234298 1 0.3 0.2 0.1
total_dad f+(d*b) total_dad 0.20346346 0.024905114 2.220446e-16 0.154650334 0.252276586 31100.5672234298 1 0.3 0.2 0.1
offspring_phenotype maternal_prs c 0.0030955517 0.029972112 0.9177399 -0.0556487089 0.0618398122 31102.39930399 2 0.3 0.2 0.1
offspring_phenotype paternal_prs b -0.0130914347 0.030065387 0.6632488 -0.0720185106 0.0458356412 31102.39930399 2 0.3 0.2 0.1
offspring_prs maternal_prs i 0.4967824328 0.007003816 0 0.4830552053 0.5105096602 31102.39930399 2 0.3 0.2 0.1
offspring_prs paternal_prs h 0.499983915 0.007013841 0 0.4862370397 0.5137307904 31102.39930399 2 0.3 0.2 0.1
offspring_phenotype offspring_prs a 0.3770075156 0.034904966 0 0.3085950387 0.4454199925 31102.39930399 2 0.3 0.2 0.1
ab a*b ia 0.1872907108 0.017540064 0 0.1529128178 0.2216686038 31102.39930399 2 0.3 0.2 0.1
db d*b ha 0.1884976937 0.017651112 0 0.1539021507 0.2230932366 31102.39930399 2 0.3 0.2 0.1
total_mum c+(a*b) total_mum 0.1903862625 0.024588983 9.769963e-15 0.142192742 0.2385797829 31102.39930399 2 0.3 0.2 0.1
total_dad f+(d*b) total_dad 0.175406259 0.024624177 1.05338e-12 0.1271437587 0.2236687592 31102.39930399 2 0.3 0.2 0.1
offspring_phenotype maternal_prs c 0.01857396 0.030604649 0.5439173 -0.04141005 0.07855797 31394.3410979537 3 0.3 0.2 0.1
offspring_phenotype paternal_prs b 0.006147466 0.03066245 0.8410986 -0.053949832 0.066244764 31394.3410979537 3 0.3 0.2 0.1
offspring_prs maternal_prs i 0.501179853 0.007099511 0 0.487265066 0.515094639 31394.3410979537 3 0.3 0.2 0.1
offspring_prs paternal_prs h 0.507012734 0.007078173 0 0.49313977 0.520885697 31394.3410979537 3 0.3 0.2 0.1
offspring_phenotype offspring_prs a 0.354676697 0.035217052 0 0.285652543 0.423700851 31394.3410979537 3 0.3 0.2 0.1
ab a*b ia 0.177756815 0.017828789 0 0.142813031 0.212700598 31394.3410979537 3 0.3 0.2 0.1
db d*b ha 0.179825602 0.018031114 0 0.144485267 0.215165937 31394.3410979537 3 0.3 0.2 0.1
total_mum c+(a*b) total_mum 0.196330775 0.025128864 5.551115e-15 0.147079107 0.245582443 31394.3410979537 3 0.3 0.2 0.1
total_dad f+(d*b) total_dad 0.185973068 0.025053335 1.14353e-13 0.136869433 0.235076703 31394.3410979537 3 0.3 0.2 0.1
offspring_phenotype maternal_prs c 0.0507641 0.030704827 0.0982711 -0.009416258 0.1109445 31453.7779152641 4 0.3 0.2 0.1
offspring_phenotype paternal_prs b -0.009734786 0.030451809 0.7492121 -0.06941924 0.04994966 31453.7779152641 4 0.3 0.2 0.1
offspring_prs maternal_prs i 0.5107608 0.007214606 0 0.4966204 0.5249011 31453.7779152641 4 0.3 0.2 0.1
offspring_prs paternal_prs h 0.5101886 0.00712927 0 0.4962154 0.5241617 31453.7779152641 4 0.3 0.2 0.1
offspring_phenotype offspring_prs a 0.3959647 0.034735614 0 0.3278842 0.4640453 31453.7779152641 4 0.3 0.2 0.1
ab a*b ia 0.2022432 0.01797011 0 0.1670225 0.237464 31453.7779152641 4 0.3 0.2 0.1
db d*b ha 0.2020167 0.017945141 0 0.1668448 0.2371885 31453.7779152641 4 0.3 0.2 0.1
total_mum c+(a*b) total_mum 0.2530073 0.025222675 0 0.2035718 0.3024429 31453.7779152641 4 0.3 0.2 0.1
total_dad f+(d*b) total_dad 0.1922819 0.024924337 1.221245e-14 0.1434311 0.2411327 31453.7779152641 4 0.3 0.2 0.1
offspring_phenotype maternal_prs c 0.048721322 0.030316284 0.10803227 -0.010697502 0.108140146 31093.0964600384 5 0.3 0.2 0.1
offspring_phenotype paternal_prs b 0.062417218 0.029875794 0.03668759 0.003861738 0.120972698 31093.0964600384 5 0.3 0.2 0.1
offspring_prs maternal_prs i 0.517792904 0.007086622 0 0.50390338 0.531682427 31093.0964600384 5 0.3 0.2 0.1
offspring_prs paternal_prs h 0.501795393 0.00704479 0 0.487987859 0.515602928 31093.0964600384 5 0.3 0.2 0.1
offspring_phenotype offspring_prs a 0.3376411 0.034541624 0 0.269940761 0.405341438 31093.0964600384 5 0.3 0.2 0.1
ab a*b ia 0.174828165 0.01804475 0 0.139461106 0.210195225 31093.0964600384 5 0.3 0.2 0.1
db d*b ha 0.169426748 0.017495277 0 0.135136636 0.20371686 31093.0964600384 5 0.3 0.2 0.1
total_mum c+(a*b) total_mum 0.223549488 0.024595008 0 0.175344157 0.271754818 31093.0964600384 5 0.3 0.2 0.1
total_dad f+(d*b) total_dad 0.231843966 0.024449825 0 0.18392319 0.279764743 31093.0964600384 5 0.3 0.2 0.1
offspring_phenotype maternal_prs c -0.024728554 0.030313345 0.4146348 -0.084141618 0.034684509 31206.5928683229 6 0.3 0.2 0.1
offspring_phenotype paternal_prs b -0.010290265 0.030175681 0.7330946 -0.069433513 0.048852982 31206.5928683229 6 0.3 0.2 0.1
offspring_prs maternal_prs i 0.503913511 0.007125291 0 0.489948197 0.517878824 31206.5928683229 6 0.3 0.2 0.1
offspring_prs paternal_prs h 0.50122368 0.007095769 0 0.487316229 0.515131132 31206.5928683229 6 0.3 0.2 0.1
offspring_phenotype offspring_prs a 0.40569977 0.034734642 0 0.337621122 0.473778419 31206.5928683229 6 0.3 0.2 0.1
ab a*b ia 0.204437596 0.017740357 0 0.169667135 0.239208057 31206.5928683229 6 0.3 0.2 0.1
db d*b ha 0.203346332 0.017646224 0 0.168760368 0.237932296 31206.5928683229 6 0.3 0.2 0.1
total_mum c+(a*b) total_mum 0.179709041 0.024917689 5.508927e-13 0.130871269 0.228546814 31206.5928683229 6 0.3 0.2 0.1
total_dad f+(d*b) total_dad 0.193056067 0.024814449 7.327472e-15 0.14442064 0.241691494 31206.5928683229 6 0.3 0.2 0.1
offspring_phenotype maternal_prs c 0.0282281916 0.029937041 0.3457226 -0.0304473313 0.0869037144 31273.9690052376 7 0.3 0.2 0.1
offspring_phenotype paternal_prs b 0.0409260999 0.03011539 0.1741541 -0.018098979 0.0999511788 31273.9690052376 7 0.3 0.2 0.1
offspring_prs maternal_prs i 0.4937242561 0.007083996 0 0.4798398796 0.5076086327 31273.9690052376 7 0.3 0.2 0.1
offspring_prs paternal_prs h 0.5100581433 0.007030963 0 0.496277709 0.5238385777 31273.9690052376 7 0.3 0.2 0.1
offspring_phenotype offspring_prs a 0.32989483 0.034670315 0 0.2619422607 0.3978473994 31273.9690052376 7 0.3 0.2 0.1
ab a*b ia 0.1628770796 0.017276367 0 0.1290160233 0.1967381358 31273.9690052376 7 0.3 0.2 0.1
db d*b ha 0.1682655445 0.017835343 0 0.1333089138 0.2032221752 31273.9690052376 7 0.3 0.2 0.1
total_mum c+(a*b) total_mum 0.1911052711 0.02467137 9.547918e-15 0.1427502746 0.2394602676 31273.9690052376 7 0.3 0.2 0.1
total_dad f+(d*b) total_dad 0.2091916444 0.024486673 0 0.1611986465 0.2571846423 31273.9690052376 7 0.3 0.2 0.1
offspring_phenotype maternal_prs c 0.028824377 0.030668729 0.3472883 -0.031285226 0.08893398 31324.7836115318 8 0.3 0.2 0.1
offspring_phenotype paternal_prs b -0.111823948 0.030699018 0.0002699082 -0.171992918 -0.051654978 31324.7836115318 8 0.3 0.2 0.1
offspring_prs maternal_prs i 0.507060179 0.007103466 0 0.493137642 0.520982717 31324.7836115318 8 0.3 0.2 0.1
offspring_prs paternal_prs h 0.508210696 0.007105839 0 0.494283507 0.522137885 31324.7836115318 8 0.3 0.2 0.1
offspring_phenotype offspring_prs a 0.423436102 0.035140111 0 0.354562749 0.492309454 31324.7836115318 8 0.3 0.2 0.1
ab a*b ia 0.214707586 0.018070245 0 0.179290556 0.250124615 31324.7836115318 8 0.3 0.2 0.1
db d*b ha 0.215194756 0.018110279 0 0.179699262 0.25069025 31324.7836115318 8 0.3 0.2 0.1
total_mum c+(a*b) total_mum 0.243531963 0.025142228 0 0.194254101 0.292809824 31324.7836115318 8 0.3 0.2 0.1
total_dad f+(d*b) total_dad 0.103370808 0.025150628 3.955416e-05 0.054076482 0.152665134 31324.7836115318 8 0.3 0.2 0.1
offspring_phenotype maternal_prs c 0.002553027 0.029855448 0.9318536 -0.055962576 0.061068631 31116.6488028106 9 0.3 0.2 0.1
offspring_phenotype paternal_prs b -0.021204489 0.030309249 0.4841743 -0.080609524 0.038200547 31116.6488028106 9 0.3 0.2 0.1
offspring_prs maternal_prs i 0.484702011 0.006997601 0 0.470986965 0.498417056 31116.6488028106 9 0.3 0.2 0.1
offspring_prs paternal_prs h 0.498505522 0.007058949 0 0.484670237 0.512340807 31116.6488028106 9 0.3 0.2 0.1
offspring_phenotype offspring_prs a 0.387916296 0.035073118 0 0.319174249 0.456658344 31116.6488028106 9 0.3 0.2 0.1
ab a*b ia 0.188023809 0.017215365 0 0.154282314 0.221765304 31116.6488028106 9 0.3 0.2 0.1
db d*b ha 0.193378416 0.017697272 0 0.1586924 0.228064431 31116.6488028106 9 0.3 0.2 0.1
total_mum c+(a*b) total_mum 0.190576836 0.024692425 1.176836e-14 0.142180572 0.2389731 31116.6488028106 9 0.3 0.2 0.1
total_dad f+(d*b) total_dad 0.172173927 0.024908904 4.773737e-12 0.123353373 0.220994481 31116.6488028106 9 0.3 0.2 0.1
offspring_phenotype maternal_prs c 0.032108416 0.030625067 0.2944379 -0.027915613 0.092132446 31232.0720478291 10 0.3 0.2 0.1
offspring_phenotype paternal_prs b 0.005874959 0.030498652 0.8472487 -0.0539013 0.065651218 31232.0720478291 10 0.3 0.2 0.1
